Date,DeathIncrease,PositiveIncrease,Stock Daily Close
3/1/2020,3,32,2957
3/2/2020,3,44,3065
3/3/2020,3,48,2997
3/4/2020,2,139,3114.75
3/5/2020,4,107,3015.5
3/6/2020,6,112,2964
3/7/2020,1,178,
3/8/2020,4,198,3015.5
3/9/2020,4,292,2747.75
3/10/2020,2,387,2865.75
3/11/2020,6,509,2740.25
3/12/2020,8,671,2469
3/13/2020,4,1072,2696
3/14/2020,9,924,
3/15/2020,15,1291,2468.899902
3/16/2020,21,1748,2416.25
3/17/2020,23,2588,2495.5
3/18/2020,32,3089,2414
3/19/2020,48,4651,2403.25
3/20/2020,69,6147,2437.97998
3/21/2020,62,6793,
3/22/2020,146,9125,2203.25
3/23/2020,101,11439,2220.5
3/24/2020,234,10769,2438
3/25/2020,235,12908,2467
3/26/2020,319,17720,2608
3/27/2020,406,19128,2524
3/28/2020,538,19692,
3/29/2020,521,19581,2489
3/30/2020,589,22042,2611.25
3/31/2020,890,24853,2569.75
4/1/2020,1011,25791,2448
4/2/2020,1172,28060,2516.5
4/3/2020,1286,32076,2482.75
4/4/2020,1482,33212,
4/5/2020,1340,25500,null
4/6/2020,1318,29002,2644.5
4/7/2020,2024,30885,2642
4/8/2020,2010,30677,2735
4/9/2020,2043,34503,2779.75
4/10/2020,2108,34380,
4/11/2020,2054,30501,
4/12/2020,1703,27784,2745
4/13/2020,1643,25195,2759.25
4/14/2020,2336,25719,2843
4/15/2020,2544,30307,2775
4/16/2020,2200,30978,2787.5
4/17/2020,2119,32024,2870
4/18/2020,1893,27907,
4/19/2020,1772,27387,2847.5
4/20/2020,1798,25897,2806.5
4/21/2020,2467,26367,2732
4/22/2020,2098,28959,2788.5
4/23/2020,1791,31812,2780.75
4/24/2020,1895,34231,2829.5
4/25/2020,1748,35889,
4/26/2020,1215,27310,2818.75
4/27/2020,1270,22708,2869
4/28/2020,2072,25280,2867.25
4/29/2020,2713,26168,2941
4/30/2020,2139,29975,2902.5
5/1/2020,1779,33021,2821.75
5/2/2020,1562,29154,
5/3/2020,1232,25701,2776.5
5/4/2020,1035,22649,2825.25
5/5/2020,2452,22444,2858.25
5/6/2020,1948,25115,2833.5
5/7/2020,2752,27537,2880
5/8/2020,1798,27222,2928.5
5/9/2020,1445,25218,
5/10/2020,1036,21055,2936
5/11/2020,892,18377,2922.75
5/12/2020,1486,22890,2852.5
5/13/2020,1704,21285,2813
5/14/2020,1879,26785,2847
5/15/2020,1507,24685,2846.5
5/16/2020,987,24702,
5/17/2020,849,20009,2870.5
5/18/2020,848,21028,2948
5/19/2020,1326,20897,2918.75
5/20/2020,1399,21308,2968.5
5/21/2020,1394,26688,2937
5/22/2020,1341,24433,2953
5/23/2020,1063,21531,
5/24/2020,680,20072,2967.5
5/25/2020,559,18671,
5/26/2020,645,16825,2994.5
5/27/2020,1321,19447,3035.5
5/28/2020,1231,22622,3038
5/29/2020,1184,23572,3042
5/30/2020,932,23682,
5/31/2020,652,21558,3021.5
6/1/2020,668,20485,3054
6/2/2020,962,20109,3077
6/3/2020,993,20390,3117.75
6/4/2020,893,20886,3110.5
6/5/2020,826,23394,3186.75
6/6/2020,728,23064,
6/7/2020,447,18740,3209.25
6/8/2020,661,17209,3227.5
6/9/2020,902,17312,3205.5
6/10/2020,887,20894,3186
6/11/2020,899,22153,3010.25
6/12/2020,775,23597,3034.75
6/13/2020,694,25376,
6/14/2020,356,21399,3000.75
6/15/2020,381,18649,3073
6/16/2020,730,23478,3128.75
6/17/2020,767,24001,3118
6/18/2020,705,27746,3109
6/19/2020,655,31471,3161.26001
6/20/2020,629,32294,
6/21/2020,294,27928,3053.25
6/22/2020,286,27281,3110.75
6/23/2020,710,33447,3118.5
6/24/2020,724,39075,3049
6/25/2020,647,39637,3070.75
6/26/2020,637,44543,3007
6/27/2020,511,43164,
6/28/2020,271,41570,3002.75
6/29/2020,332,39813,3047.75
6/30/2020,596,47864,3090.25
7/1/2020,701,50981,3103
7/2/2020,695,54085,3129
7/3/2020,598,53948,
7/4/2020,306,54338,
7/5/2020,209,45612,3134.25
7/6/2020,243,41959,3172
7/7/2020,923,51687,3136.5
7/8/2020,807,62672,3163.5
7/9/2020,867,59157,3141
7/10/2020,854,66846,3178.5
7/11/2020,757,62895,
7/12/2020,476,61312,3190
7/13/2020,327,58133,3148.25
7/14/2020,736,62687,3183.5
7/15/2020,858,65797,3219.5
7/16/2020,947,71036,3194.5
7/17/2020,951,76842,3214
7/18/2020,872,64951,
7/19/2020,527,64260,3221
7/20/2020,363,57041,3245.25
7/21/2020,1039,63930,3251.25
7/22/2020,1171,69333,3265.5
7/23/2020,1056,71553,3227.5
7/24/2020,1176,75235,3204
7/25/2020,1023,64741,
7/26/2020,559,61000,3201
7/27/2020,1060,55332,3232.25
7/28/2020,1122,59003,3213
7/29/2020,1492,64408,3252.5
7/30/2020,1259,69418,3248.75
7/31/2020,1312,67623,3263.5
8/1/2020,1190,61101,
8/2/2020,498,46812,3262.25
8/3/2020,519,49713,3288.5
8/4/2020,1255,51866,3300
8/5/2020,1346,52324,3316
8/6/2020,1251,54187,3344.25
8/7/2020,1333,61345,3344.75
8/8/2020,1089,53712,
8/9/2020,616,50627,3341.5
8/10/2020,426,42089,3352.75
8/11/2020,1326,55701,3330
8/12/2020,1519,56134,3370
8/13/2020,1163,51759,3367.75
8/14/2020,1216,55636,3361.5
8/15/2020,1221,56149,
8/16/2020,619,42487,3369
8/17/2020,407,37880,3379.75
8/18/2020,1196,40795,3387
8/19/2020,1420,44955,3372.75
8/20/2020,1134,43758,3380.75
8/21/2020,1123,46561,3392.5
8/22/2020,1029,46236,
8/23/2020,572,37566,3400
8/24/2020,343,34643,3427.5
8/25/2020,1147,36379,3443
8/26/2020,1298,44053,3480.25
8/27/2020,1129,43984,3485.25
8/28/2020,1024,46548,3504.5
8/29/2020,1015,44501,
8/30/2020,475,39501,3516.25
8/31/2020,366,31406,3499
9/1/2020,1027,42433,3527
9/2/2020,1032,30603,3579.25
9/3/2020,1070,44714,3461.5
9/4/2020,998,51591,3417.5
9/5/2020,918,44905,
9/6/2020,449,33117,
9/7/2020,225,28682,
9/8/2020,358,22223,3335.5
9/9/2020,1084,31114,3400.25
9/10/2020,1170,37581,3340.5
9/11/2020,1018,44927,3333.75
9/12/2020,810,42090,
9/13/2020,390,34453,
9/14/2020,404,33864,3382.5
9/15/2020,1031,35445,3405.25
9/16/2020,1200,40021,3389.5
